stock_item_name,list_rate,unit,brand,doc_title,effective_from,storage_path,page_no,price_per_piece,pack_qty,thread_form,size,grade,edp_code,confidence,note,updated_at
HSS TRD TAP 12 X 1.75 SET TOTEM,2841.0,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,947.0,3.0,Metric Coarse,12.0 X 1.75,Standard,,review,"invoice rate 2,575.00 != list 2,841.00",2026-08-10T11:02:26.42234+00:00
HSS TRD TAP 16 X 2 SET TOTEM,4134.0,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,1378.0,3.0,Metric Coarse,16.0 X 2.00,Standard,,review,"invoice rate 3,777.00 != list 4,134.00",2026-08-10T11:02:26.42234+00:00
HSS-E LONG TAP 16 X 2 TYPE B GOLD TOTEM,1442.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,1442.0,1.0,Metric Coarse,16.0 X 2.00,STD GOLD,,review,"invoice rate 1,600.00 != list 1,442.00",2026-08-10T16:28:57.046883+00:00
HSS-E LONG TAP 6 X 1 TYPE C XL TICN TOTEM,419.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.0,1.0,Metric Coarse,6.0 X 1.00,Standard,,review,invoice rate 594.00 != list 419.00,2026-08-10T11:02:26.42234+00:00
HSS-E ROLL TAP 10 X 1.5 SD3 TOTEM,609.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,609.0,1.0,Metric Coarse,10.0 X 1.50,Standard,,review,,2026-08-10T11:02:26.42234+00:00
HSS-E ROLL TAP 12 X 1.75 SD3 TOTEM,947.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,947.0,1.0,Metric Coarse,12.0 X 1.75,Standard,,review,,2026-08-10T11:02:26.42234+00:00
HSS-E ROLL TAP 14 X 1.5 6G SDF3 TOTEM,1381.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,1381.0,1.0,Metric Coarse,14.0 X 1.50,Standard,,review,,2026-08-10T11:02:26.42234+00:00
HSS-E ROLL TAP 3.5 X .6 SD3 TOTEM,390.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,390.0,1.0,Metric Coarse,3.5 X 0.60,Standard,,review,,2026-08-10T11:02:26.42234+00:00
HSS-E ROLL TAP 4 X .7 SD1 TOTEM,390.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,390.0,1.0,Metric Coarse,4.0 X 0.70,Standard,,review,,2026-08-10T11:02:26.42234+00:00
HSS-E ROLL TAP 4 X .7 SD3 TOTEM,390.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,390.0,1.0,Metric Coarse,4.0 X 0.70,Standard,,review,invoice rate 978.00 != list 390.00,2026-08-10T11:02:26.42234+00:00
HSS-E ROLL TAP 5 X .8 SD3 TOTEM,419.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.0,1.0,Metric Coarse,5.0 X 0.80,Standard,,review,invoice rate 525.00 != list 419.00,2026-08-10T11:02:26.42234+00:00
HSS-E ROLL TAP 6 X 1 O/G TIN GOLD TOTEM,510.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,510.0,1.0,Metric Coarse,6.0 X 1.00,STD GOLD,,review,,2026-08-10T16:28:57.046883+00:00
HSS-E ROLL TAP 6 X 1 SD3 TOTEM,419.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.0,1.0,Metric Coarse,6.0 X 1.00,Standard,,review,,2026-08-10T11:02:26.42234+00:00
HSS-E ROLL TAP 8 X 1.25 SD3 TOTEM,504.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.0,1.0,Metric Coarse,8.0 X 1.25,Standard,,review,invoice rate 970.00 != list 504.00,2026-08-10T11:02:26.42234+00:00
